zip_code,city,county
98001,Auburn,King
98002,Auburn,King
98003,Federal Way,King
98004,Bellevue,King
98005,Bellevue,King
98006,Bellevue,King
98007,Bellevue,King
98008,Bellevue,King
98009,Bellevue,King
98010,Black Diamond,King
98011,Bothell,King
98012,Bothell,Snohomish
98013,Burton,King
98014,Carnation,King
98015,Bellevue,King
98019,Duvall,King
98020,Edmonds,Snohomish
98021,Bothell,Snohomish
98022,Enumclaw,King
98023,Federal Way,King
98024,Fall City,King
98025,Hobart,King
98026,Edmonds,Snohomish
98027,Issaquah,King
98028,Kenmore,King
98029,Issaquah,King
98030,Kent,King
98031,Kent,King
98032,Kent,King
98033,Kirkland,King
98034,Kirkland,King
98035,Kent,King
98036,Lynnwood,Snohomish
98037,Lynnwood,Snohomish
98038,Maple Valley,King
98039,Medina,King
98040,Mercer Island,King
98041,Bothell,King
98042,Kent,King
98043,Mountlake Terrace,Snohomish
98045,North Bend,King
98046,Lynnwood,Snohomish
98047,Pacific,King
98050,Preston,King
98051,Ravensdale,King
98052,Redmond,King
98053,Redmond,King
98054,Redondo,King
98055,Renton,King
98056,Renton,King
98057,Renton,King
98058,Renton,King
98059,Renton,King
98061,Rollingbay,Kitsap
98062,Seahurst,King
98063,Federal Way,King
98064,Kent,King
98065,Snoqualmie,King
98068,Snoqualmie Pass,Kittitas
98070,Vashon Island,King
98071,Auburn,King
98072,Woodinville,King
98073,Redmond,King
98074,Sammamish,King
98075,Sammamish,King
98077,Woodinville,King
98082,Mill Creek,Snohomish
98083,Kirkland,King
98087,Lynnwood,Snohomish
98089,Kent,King
98092,Auburn,King
98093,Federal Way,King
98101,Seattle,King
98102,Seattle,King
98103,Seattle,King
98104,Seattle,King
98105,Seattle,King
98106,Seattle,King
98107,Seattle,King
98108,Seattle,King
98109,Seattle,King
98110,Bainbridge Island,Kitsap
98111,Seattle,King
98112,Seattle,King
98113,Seattle,King
98114,Seattle,King
98115,Seattle,King
98116,Seattle,King
98117,Seattle,King
98118,Seattle,King
98119,Seattle,King
98121,Seattle,King
98122,Seattle,King
98124,Seattle,King
98125,Seattle,King
98126,Seattle,King
98127,Seattle,King
98129,Seattle,King
98131,Seattle,King
98132,Seattle,King
98133,Seattle,King
98134,Seattle,King
98136,Seattle,King
98138,Seattle,King
98139,Seattle,King
98141,Seattle,King
98144,Seattle,King
98145,Seattle,King
98146,Seattle,King
98148,Seattle,King
98151,Seattle,King
98154,Seattle,King
98155,Seattle,King
98158,Seattle,King
98160,Seattle,King
98161,Seattle,King
98164,Seattle,King
98165,Seattle,King
98166,Seattle,King
98168,Seattle,King
98170,Seattle,King
98171,Seattle,King
98174,Seattle,King
98175,Seattle,King
98177,Seattle,King
98178,Seattle,King
98181,Seattle,King
98184,Seattle,King
98185,Seattle,King
98188,Seattle,King
98190,Seattle,King
98191,Seattle,King
98194,Seattle,King
98195,Seattle,King
98198,Seattle,King
98199,Seattle,King